anchor,positive,negative
"Ngành Công nghệ thông tin có học môn Học máy thống kê không?","Ngành Công nghệ thông tin học môn Học máy thống kê trong Học Kỳ Thứ 7.","Ngành Công nghệ thông tin không học môn Học máy thống kê."
"Ngành Công nghệ thông tin có học môn Phát triển phần mềm quản lý không?","Ngành Công nghệ thông tin học môn Phát triển phần mềm quản lý trong Học Kỳ Thứ 8.","Ngành Công nghệ thông tin không học môn Phát triển phần mềm quản lý."
"Ngành Công nghệ thông tin có học môn An ninh mạng không?","Ngành Công nghệ thông tin học môn An ninh mạng trong Học Kỳ Thứ 8.","Ngành Công nghệ thông tin không học môn An ninh mạng."
"Ngành Công nghệ thông tin có học môn Kỹ nghệ tri thức và học máy không?","Ngành Công nghệ thông tin học môn Kỹ nghệ tri thức và học máy trong Học Kỳ Thứ 8.","Ngành Công nghệ thông tin không học môn Kỹ nghệ tri thức và học máy."
"Ngành Công nghệ thông tin có học môn Hệ thống cơ sở dữ liệu không gian không?","Ngành Công nghệ thông tin học môn Hệ thống cơ sở dữ liệu không gian trong Học Kỳ Thứ 8.","Ngành Công nghệ thông tin không học môn Hệ thống cơ sở dữ liệu không gian."
"Ngành Công nghệ thông tin có học môn Các hệ cơ sở tri thức không?","Ngành Công nghệ thông tin học môn Các hệ cơ sở tri thức trong Học Kỳ Thứ 8.","Ngành Công nghệ thông tin không học môn Các hệ cơ sở tri thức."
"Ngành Công nghệ thông tin có học môn Thực tập doanh nghiệp không?","Ngành Công nghệ thông tin học môn Thực tập doanh nghiệp trong Học Kỳ Thứ 9.","Ngành Công nghệ thông tin không học môn Thực tập doanh nghiệp."
"Ngành Công nghệ thông tin có học môn Đồ án tốt nghiệp không?","Ngành Công nghệ thông tin học môn Đồ án tốt nghiệp trong Học Kỳ Thứ 9.","Ngành Công nghệ thông tin không học môn Đồ án tốt nghiệp."
"Ngành Công nghệ thông tin có học môn Tri thức nhận tạo không?","Ngành Công nghệ thông tin học môn Tri thức nhận tạo trong Học Kỳ Thứ 6.","Ngành Công nghệ thông tin không học môn Tri thức nhận tạo."
"Ngành Công nghệ thông tin có học môn Quản trị hệ thống không?","Ngành Công nghệ thông tin học môn Quản trị hệ thống trong Học Kỳ Thứ 8.","Ngành Công nghệ thông tin không học môn Quản trị hệ thống."
"Ngành Công nghệ thông tin có học môn Quản lý dự án công nghệ thông tin không?","Ngành Công nghệ thông tin học môn Quản lý dự án công nghệ thông tin trong Học Kỳ Thứ 6.","Ngành Công nghệ thông tin không học môn Quản lý dự án công nghệ thông tin."
"Ngành Công nghệ Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 1?","Trong Học Kỳ Thứ 1, ngành Công nghệ Kỹ thuật Hóa học học Đại số tuyến tính, Giải tích 1, Hóa học đại cương phần 1 + TN, Tiếng Anh 1, Giáo dục thể chất 1.","Trong Học Kỳ Thứ 1, ngành Công nghệ Kỹ thuật Hóa học học các môn về vật lý và hóa học ứng dụng."
"Ngành Công nghệ Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 2?","Trong Học Kỳ Thứ 2, ngành Công nghệ Kỹ thuật Hóa học học Giải tích 2, Thí nghiệm vật lý 1, Vật lý đại cương 1, Tiếng Anh 2, Giáo dục thể chất 2.","Trong Học Kỳ Thứ 2, ngành Công nghệ Kỹ thuật Hóa học học các môn về cơ học và nhiệt động học."
"Ngành Công nghệ Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 3?","Trong Học Kỳ Thứ 3, ngành Công nghệ Kỹ thuật Hóa học học Phương pháp tính, Xác suất thống kê, Giáo dục thể chất 3, Pháp luật đại cương, Triết học Mác - Lênin, Chủ nghĩa xã hội khoa học, Hóa Hữu cơ 1, Nhập môn kỹ thuật.","Trong Học Kỳ Thứ 3, ngành Công nghệ Kỹ thuật Hóa học học các môn về hóa học và vật lý."
"Ngành Công nghệ Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 4?","Trong Học Kỳ Thứ 4, ngành Công nghệ Kỹ thuật Hóa học học Lịch sử Đảng Cộng sản Việt Nam, An toàn và Kỹ thuật môi trường trong CN Hóa học, Các quá trình thủy lực, Công nghệ sinh học đại cương, Hóa Hữu cơ 2, Nhiệt động học kỹ thuật hóa học (Phần 1), Thí nghiệm Hóa hữu cơ, Đường lối quản sự của Đảng.","Trong Học Kỳ Thứ 4, ngành Công nghệ Kỹ thuật Hóa học học các môn về kỹ thuật môi trường và công nghệ sinh học."
"Ngành Công nghệ Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 5?","Trong Học Kỳ Thứ 5, ngành Công nghệ Kỹ thuật Hóa học học Các phương pháp phân tích dụng cụ, Hóa học và sản phẩm dầu mỏ, Kỹ thuật phản ứng, Nhiệt động học trong Kỹ thuật Hóa học (Phần 2), Thực hành các phương pháp phân tích dụng cụ, Truyền nhiệt, Công tác quốc phòng - an ninh.","Trong Học Kỳ Thứ 5, ngành Công nghệ Kỹ thuật Hóa học học các môn về phản ứng hóa học và nhiệt động học."
"Ngành Công nghệ Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 6?","Trong Học Kỳ Thứ 6, ngành Công nghệ Kỹ thuật Hóa học học Cơ khí và Thiết bị trong CN Hóa học, Hóa học các hợp chất polyme, Thí nghiệm Kỹ thuật phản ứng, Truyền chất, Quân sự chung và chiến thuật, Năng lượng tái tạo.","Trong Học Kỳ Thứ 6, ngành Công nghệ Kỹ thuật Hóa học học các môn về cơ khí và năng lượng tái tạo."
"Ngành Công nghệ Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 7?","Trong Học Kỳ Thứ 7, ngành Công nghệ Kỹ thuật Hóa học học Kinh tế chính trị Mác - Lênin, Kỹ thuật đo và điều khiển trong Kỹ thuật Hóa học, Thí nghiệm Quá trình và Thiết bị trong CN Hóa học, Xúc tác trong Công nghệ Hóa học, Tự chọn C - (Lọc hóa dầu), Tự chọn B - (Lọc hóa dầu), Công nghệ lọc dầu.","Trong Học Kỳ Thứ 7, ngành Công nghệ Kỹ thuật Hóa học học các môn về xúc tác và lọc dầu."
"Ngành Công nghệ Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 8?","Trong Học Kỳ Thứ 8, ngành Công nghệ Kỹ thuật Hóa học học Tư tưởng Hồ Chí Minh, Thiết kế và mô phỏng trong CN Hóa học, Tự chọn C - (Lọc hóa dầu), Tự chọn B - (Lọc hóa dầu), Công nghệ chế biến khí, Công nghệ hóa dầu và chế biến Polyme.","Trong Học Kỳ Thứ 8, ngành Công nghệ Kỹ thuật Hóa học học các môn về mô phỏng và hóa dầu."
"Ngành Công nghệ Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 9?","Trong Học Kỳ Thứ 9, ngành Công nghệ Kỹ thuật Hóa học học Đồ án Tốt nghiệp, Thực tập doanh nghiệp.","Trong Học Kỳ Thứ 9, ngành Công nghệ Kỹ thuật Hóa học học các môn về thực tế và đồ án tốt nghiệp."
"Ngành Công nghệ Kỹ thuật Hóa học có học môn Hóa học đại cương không?","Ngành Công nghệ Kỹ thuật Hóa học học môn Hóa học đại cương phần 1 trong Học Kỳ Thứ 1 và Hóa hữu cơ trong các học kỳ tiếp theo.","Ngành Công nghệ Kỹ thuật Hóa học không học môn Hóa học đại cương."
"Ngành Công nghệ Kỹ thuật Hóa học có học môn Hóa học và sản phẩm dầu mỏ không?","Ngành Công nghệ Kỹ thuật Hóa học học môn Hóa học và sản phẩm dầu mỏ trong Học Kỳ Thứ 5.","Ngành Công nghệ Kỹ thuật Hóa học không học môn Hóa học và sản phẩm dầu mỏ."
"Ngành Công nghệ Kỹ thuật Hóa học có học môn An toàn và Kỹ thuật môi trường trong CN Hóa học không?","Ngành Công nghệ Kỹ thuật Hóa học học môn An toàn và Kỹ thuật môi trường trong CN Hóa học trong Học Kỳ Thứ 4.","Ngành Công nghệ Kỹ thuật Hóa học không học môn An toàn và Kỹ thuật môi trường trong CN Hóa học."
"Ngành Công nghệ Kỹ thuật Hóa học có học môn Kỹ thuật phản ứng không?","Ngành Công nghệ Kỹ thuật Hóa học học môn Kỹ thuật phản ứng trong Học Kỳ Thứ 5 và Học Kỳ Thứ 6.","Ngành Công nghệ Kỹ thuật Hóa học không học môn Kỹ thuật phản ứng."
"Ngành Công nghệ Kỹ thuật Hóa học có học môn Nhiệt động học không?","Ngành Công nghệ Kỹ thuật Hóa học học môn Nhiệt động học kỹ thuật hóa học trong Học Kỳ Thứ 4 và Thứ 5.","Ngành Công nghệ Kỹ thuật Hóa học không học môn Nhiệt động học."
"Ngành Công nghệ Kỹ thuật Hóa học có học môn Truyền nhiệt không?","Ngành Công nghệ Kỹ thuật Hóa học học môn Truyền nhiệt trong Học Kỳ Thứ 5.","Ngành Công nghệ Kỹ thuật Hóa học không học môn Truyền nhiệt."
"Ngành Công nghệ Kỹ thuật Hóa học có học môn Truyền chất không?","Ngành Công nghệ Kỹ thuật Hóa học học môn Truyền chất trong Học Kỳ Thứ 6.","Ngành Công nghệ Kỹ thuật Hóa học không học môn Truyền chất."
"Ngành Công nghệ Kỹ thuật Hóa học có học môn Xúc tác trong Công nghệ Hóa học không?","Ngành Công nghệ Kỹ thuật Hóa học học môn Xúc tác trong Công nghệ Hóa học trong Học Kỳ Thứ 7.","Ngành Công nghệ Kỹ thuật Hóa học không học môn Xúc tác trong Công nghệ Hóa học."
"Ngành Công nghệ Kỹ thuật Hóa học có học môn Lọc hóa dầu không?","Ngành Công nghệ Kỹ thuật Hóa học học môn Lọc hóa dầu trong Học Kỳ Thứ 7 và Thứ 8.","Ngành Công nghệ Kỹ thuật Hóa học không học môn Lọc hóa dầu."
"Ngành Công nghệ Kỹ thuật Hóa học có học môn Công nghệ chế biến khí không?","Ngành Công nghệ Kỹ thuật Hóa học học môn Công nghệ chế biến khí trong Học Kỳ Thứ 8.","Ngành Công nghệ Kỹ thuật Hóa học không học môn Công nghệ chế biến khí."
"Ngành Kỹ thuật Cơ khí học những môn gì trong Học Kỳ Thứ 1?","Trong Học Kỳ Thứ 1, ngành Kỹ thuật Cơ khí học Đại số tuyến tính, Giải tích 1, Hóa học đại cương phần 1 + TN, Hình họa và vẽ kỹ thuật + BTL, Tiếng Anh 1, Giáo dục thể chất 1.","Trong Học Kỳ Thứ 1, ngành Kỹ thuật Cơ khí học các môn về cơ học và vật lý."
"Ngành Kỹ thuật Cơ khí học những môn gì trong Học Kỳ Thứ 2?","Trong Học Kỳ Thứ 2, ngành Kỹ thuật Cơ khí học Giải tích 2, Thí nghiệm vật lý 1, Vật lý đại cương 1, Cơ lý thuyết 1, Tiếng Anh 2, Giáo dục thể chất 2, Lịch sử Đảng Cộng sản Việt Nam, Nhập môn về Kỹ thuật.","Trong Học Kỳ Thứ 2, ngành Kỹ thuật Cơ khí học các môn về kỹ thuật cơ khí và vật lý."
"Ngành Kỹ thuật Cơ khí học những môn gì trong Học Kỳ Thứ 3?","Trong Học Kỳ Thứ 3, ngành Kỹ thuật Cơ khí học Giáo dục thể chất 3, Triết học Mác - Lênin, Số liệu liệu + BTL, Nguyên lý máy + BTL, Kỹ thuật thủy khí, Nhập môn Kỹ thuật, Kỹ thuật thủy khí, Tự chọn A - Cơ Khí Ô tô - CDIO, Cơ sở kỹ thuật cơ khí.","Trong Học Kỳ Thứ 3, ngành Kỹ thuật Cơ khí học các môn về nguyên lý máy và thủy khí."
"Ngành Kỹ thuật Cơ khí học những môn gì trong Học Kỳ Thứ 4?","Trong Học Kỳ Thứ 4, ngành Kỹ thuật Cơ khí học Kinh tế chính trị Mác - Lênin, Cơ sở thiết kế máy, Kỹ thuật đo + BTL, Thí nghiệm Vật liệu kỹ thuật, Vật liệu kỹ thuật, Kỹ thuật truyền động thủy khí, Cấu tạo ô tô.","Trong Học Kỳ Thứ 4, ngành Kỹ thuật Cơ khí học các môn về thiết kế máy và vật liệu kỹ thuật."
"Ngành Kỹ thuật Cơ khí học những môn gì trong Học Kỳ Thứ 5?","Trong Học Kỳ Thứ 5, ngành Kỹ thuật Cơ khí học Chủ nghĩa xã hội khoa học, Kỹ thuật điện - điện tử, Đồ án thiết kế truyền động cơ khí, Đường lối quân sự của Đảng, Kỹ thuật nhiệt, Máy thủy khí, Máy và thiết bị công nghiệp, Máy vận tải, Kết cấu tính toán ô tô 1, Nguyên lý động cơ đốt trong.","Trong Học Kỳ Thứ 5, ngành Kỹ thuật Cơ khí học các môn về thiết kế cơ khí và máy móc công nghiệp."
"Ngành Kỹ thuật Cơ khí học những môn gì trong Học Kỳ Thứ 6?","Trong Học Kỳ Thứ 6, ngành Kỹ thuật Cơ khí học Pháp luật đại cương, Công nghệ chế tạo máy 1, Tin học ứng dụng trong cơ khí, Thực tập cơ khí, Công tác quốc phòng - an ninh, Máy khác, Máy nâng - Máy xếp dỡ, Máy thủy khí, Thí nghiệm Máy thủy khí, Máy công cụ, Máy nâng - Máy xếp dỡ, Trang bị điện - điện tử trên ô tô, Công nghệ sản xuất và lắp ráp ô tô, Kết cấu, tính toán ô tô 2, Lý thuyết ô tô.","Trong Học Kỳ Thứ 6, ngành Kỹ thuật Cơ khí học các môn về chế tạo máy, ô tô và thí nghiệm cơ khí."
